collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"22","","en","Nykthos Paragon","367ac7e2-5056-48f3-a296-87d6cb1f7b54","2","2963205e-b181-44d1-809f-6577e29fa812","mh2","Modern Horizons 2"
"12","","en","Defend the Campus","274c2781-f40a-49b4-a039-669739beaab6","4","85e4e1b5-77d6-4af4-b22e-6f6b4d129f5d","stx","Strixhaven: School of Mages"
"25","","en","Reduce to Memory","661736eb-97d7-4b3c-ab18-708479a5fb29","5","7bfc408e-34d6-4e94-8678-4cc229cbc6f5","stx","Strixhaven: School of Mages"
"28","","en","Show of Confidence","6f7c29ff-955c-496b-9300-2efb9e99ba2d","4","65837f39-deb7-4a4b-8b67-125a71cd0d45","stx","Strixhaven: School of Mages"
"30","","en","Star Pupil","37fd3a9d-74fe-4180-805a-b865e7228a77","2","99e9318f-2e17-4b6e-895f-c17cd5d0d282","stx","Strixhaven: School of Mages"
"16","foil","en","Eager First-Year","74788d52-dad7-4c10-8567-a2c86ed90a67","3","7a83543b-3b6f-4e28-96f9-007b814bcfd6","stx","Strixhaven: School of Mages"
"13","","en","Detention Vortex","5383a1c1-662f-46fe-a0e5-0f38efe1a37a","4","54ebe581-be17-415a-a160-28d8f4e95636","stx","Strixhaven: School of Mages"
"24","foil/preRelease","en","Righteous Valkyrie","891d2690-7144-4f87-b6ef-96f2469780a9","1","02fb5f9f-8750-4eb5-a03a-6dacc60e0b90","khm","Kaldheim"
"16","","en","Invoke the Divine","87bd0fdb-c5b9-46ea-9858-1a870960351f","1","7213d9e1-e9c6-45d8-bb7f-336c41e7b6f7","khm","Kaldheim"
"4","","en","Beskir Shieldmate","a1090a50-2347-48d0-bb67-379accb8e02d","1","dfc1df84-9c47-444b-9d58-d9c7bed51c66","khm","Kaldheim"
"26","","en","Secret Rendezvous","34b90d3e-f48c-41ff-b3e4-5cab7a9cd597","3","39528cf0-343e-499b-a69f-c5c3c2898c25","stx","Strixhaven: School of Mages"
"2","","en","Battershield Warrior","f8e8cdc6-5685-4986-a14b-20bb9e31d9cf","1","fb79dc85-f85a-4846-9ac3-c75c64ea9c0a","khm","Kaldheim"
"8","","en","Divine Gambit","25fcf381-6f0a-49ef-9c41-f202be7d8368","1","696a8c12-4a1f-4b96-a921-538fa1a2de43","khm","Kaldheim"
"19","","en","Master Skald","34bccfc0-453d-4d1a-8046-70f9c3065e88","2","6b269e27-8e17-4bf2-b28a-a83ecc7d22c0","khm","Kaldheim"
"7","","en","Codespell Cleric","4388af80-118f-4bf4-8fd7-e68c58398ee8","1","1316a74e-da55-4668-87f2-98389a90a2a4","khm","Kaldheim"
